"id","name","service_group_id","service_type_id","service_status_id","inserted_at","updated_at"
68,Bike Taxi,6,on_demand,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
69,Car pool,6,on_demand,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
70,Limo service,6,on_demand,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
71,Share Taxi,6,on_demand,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
72,Taxi,6,on_demand,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
73,Tuk Tuk (3-Wheeler),6,on_demand,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
74,Vanpool,6,on_demand,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
75,Academic Tutoring,7,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
76,After School Tutoring,7,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
77,Coaching center,7,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
78,Elementary school,7,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
79,High school,7,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
48,Fabrication & Metal works,38,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
50,General Construction,38,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
35,Private fitness lessons,4,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
80,Middle school,7,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
81,Paly and Preschool,7,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
82,SAT preparation,7,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
83,School District,7,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
84,School drop-off & Pickup,7,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
85,Testing center,7,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
86,Text book Rentals,7,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
87,Party Entertainer,8,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
88,India,9,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
89,Astrology,10,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
90,Crystallomancy,10,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
91,Face Reading,10,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
92,Necromancy,10,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
93,Palmistry,10,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
94,Pendulum Reading,10,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
95,Tarot Card Readings,10,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
96,Tea Leaves Reading,10,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
97,Personnel fitness,11,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
98,Personnel Trainer,11,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
99,Athletics Coach,11,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
100,Facility Reservation,11,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
101,Gym/ Fitness Center,11,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
103,Acupuncture,12,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
104,Body Imaging & X-Ray,12,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
106,"ENT (Ear, Nose and Throat) Specialist",12,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
107,Eye Exam & Glasses,12,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
110,Medical Diagnostics and Tests,12,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
111,Oil and Brake service,16,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
112,Pathology and Audiology,12,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
113,Children Caregiver,12,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
114,Adult Caregiver,12,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
115,Health care Services,12,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
117,Emergency care Facility,12,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
118,In-Patient Hospital,12,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
119,Health Clinic,12,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
120,Cooking,13,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
121,Home Decoration,13,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
122,Maid Help Service,13,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
123,Gruha Pravesh (House warming),14,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
124,Muhurat (Auspicious time),14,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
125,Naming ceremony,14,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
126,Other Rituals,14,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
127,Pooja Services,14,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
128,Punya vaachanam,14,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
129,Satytanarayan Vrat Pooja,14,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
130,Vivah (Marriage),14,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
131,Shraddha Karma,14,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
132,Assistant Pundit,14,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
133,House cleaning,15,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
134,Maid services,15,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
135,Outdoor and yard cleaning,15,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
136,Steam/ Deep cleaning,15,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
137,Tile & Carpet cleaning,15,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
138,Upholstery cleaning,15,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
139,Window cleaning,15,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
143,Auto/ Car mechanic,16,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
147,Equipment Assembly,16,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
151,Home Appraisal,16,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
153,Home Fumigation,16,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
154,Home Improvement,16,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
155,Home Inspection,16,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
158,Landry and Dry cleaner,16,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
108,Health Care/ Nurse,12,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
109,Homeopathic Physician,12,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
116,Urgent Care Facility,12,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
105,Dental care,55,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
159,Landscape Design,38,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
157,Kitchen Remodeling,38,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
149,Gardening/ Sprinklers,38,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
146,Cabinets & Closets,38,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
145,Builder/ Construction,38,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
142,Attic & Wall Insulation,38,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
150,Architect and Designer,38,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
141,Artificial Turf & Grass,38,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
148,Garage Door,38,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
160,Nanny and Baby sitting,16,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
165,Termite & Pest Control,16,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
166,Tree Pruning,16,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
167,Window cleaning,16,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
173,Wood Work,16,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
174,Gardner,16,home_service,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
175,Acting and Drama,17,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
176,Instrument lessons,17,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
177,Music Instrument Sale & repair,21,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
178,Painting lessons,17,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
179,Singing lessons,17,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
180,Dance lessons,17,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
181,Sculptural,17,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
182,Handcraft,17,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
183,City Hall,18,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
184,Complaints,18,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
185,Court,18,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
186,Library,18,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
187,Police,18,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
188,Roads and Buildings,18,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
189,School District,18,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
190,Utility/ Electrical,18,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
191,Water & Sewage,18,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
192,Approver Inspection,18,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
193,Church/ Baptism,19,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
194,Hindu Temples,19,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
195,Bicycles,20,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
196,Bikes,20,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
197,Bus,20,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
198,Passenger Car,20,walk_in,active,2019-01-11 04:44:00.000,2019-01-11 04:44:00.000
