title,slug,value,unit,is_active,country_id,inserted_at,updated_at
Max File Size,max_file_size,2.0,MB,true,1,2021-02-06 03:56:15.162244,2021-02-06 03:56:15.162244
Max On Demand Job Sending Limit,max_ondemand_job_send_limit,10,,true,1,2021-02-06 03:56:15.162244,2021-02-06 03:56:15.162244
