description,id
commonwealth bank,commonwealth_bank
new york life insurance company,new_york_life_insurance_company
siemens healthcare,siemens_healthcare
cibc,cibc
adidas,adidas
weatherford,weatherford
fluor corporation,fluor_corporation
pemex,pemex
sopra steria,sopra_steria
hca,hca
bmw group,bmw_group
dupont,dupont
nessuna azienda,nessuna_azienda
sears holdings corporation,sears_holdings_corporation
cleveland clinic,cleveland_clinic
lafargeholcim,lafargeholcim
kohl's department stores,kohl's_department_stores
humana,humana
primerica,primerica
axis bank,axis_bank
coldwell banker residential brokerage,coldwell_banker_residential_brokerage
bayer,bayer
fujitsu,fujitsu
faa,faa
bbva,bbva
university of michigan,university_of_michigan
banco do brasil,banco_do_brasil
fis,fis
foxconn,foxconn
intercontinental hotels group (ihg®),intercontinental_hotels_group_(ihg®)
ge power,ge_power
epam systems,epam_systems
pearson,pearson
national australia bank,national_australia_bank
reliance,reliance
jcpenney,jcpenney
imss,imss
bradesco,bradesco
boston scientific,boston_scientific
stay at home mom,stay_at_home_mom
lenovo,lenovo
nationwide insurance,nationwide_insurance
nissan motor corporation,nissan_motor_corporation
amazon web services,amazon_web_services
philip morris international,philip_morris_international
alstom,alstom
cummins inc.,cummins_inc.
centurylink,centurylink
psa peugeot citroën,psa_peugeot_citroën
european commission,european_commission
amgen,amgen
abn amro bank n.v.,abn_amro_bank_n.v.
cvs pharmacy,cvs_pharmacy
trw,trw
ncr corporation,ncr_corporation
akzonobel,akzonobel
amdocs,amdocs
abbvie,abbvie
arcelormittal,arcelormittal
free lance,free_lance
jaguar land rover,jaguar_land_rover
autônoma,autônoma
sgs,sgs
wipro infotech,wipro_infotech
aramark,aramark
"ministero istruzione, universita' e ricerca","ministero_istruzione,_universita'_e_ricerca"
samsung,samsung
kuehne + nagel,kuehne_+_nagel
cerner corporation,cerner_corporation
mckinsey & company,mckinsey_&_company
kimberly-clark,kimberly-clark
caixa economica federal,caixa_economica_federal
"biocolloids fate and transport in environmental systems, network biomet","biocolloids_fate_and_transport_in_environmental_systems,_network_biomet"
agilent technologies,agilent_technologies
upwork,upwork
whole foods market,whole_foods_market
comcast cable,comcast_cable
indra,indra
southwest airlines,southwest_airlines
mid managing international diffusion,mid_managing_international_diffusion
stryker,stryker
international mission of mercy (imm),international_mission_of_mercy_(imm)
british american tobacco,british_american_tobacco
nordea,nordea
bank of america merrill lynch,bank_of_america_merrill_lynch
publix super markets,publix_super_markets
own businees,own_businees
youtube,youtube
u.s. department of state,u.s._department_of_state
cecaci  centro de capacitacion comercial e industrial,cecaci__centro_de_capacitacion_comercial_e_industrial
mars,mars
lic,lic
sabic,sabic
bsnl,bsnl
danone,danone
usaa,usaa
chicago public schools,chicago_public_schools
le groupe la poste,le_groupe_la_poste
bmo financial group,bmo_financial_group
fresenius medical care,fresenius_medical_care
cushman & wakefield,cushman_&_wakefield
ing,ing
rolls-royce,rolls-royce
cigna,cigna
ymca,ymca
prudential financial,prudential_financial
saipem,saipem
bosch,bosch
rodan + fields,rodan_+_fields
rr donnelley,rr_donnelley
vmware,vmware
university of washington,university_of_washington
penn state university,penn_state_university
texas instruments,texas_instruments
michelin,michelin
baxter international inc.,baxter_international_inc.
sakri it solutions pvt ltd,sakri_it_solutions_pvt_ltd
rabobank,rabobank
cardinal health,cardinal_health
amway,amway
adecco,adecco
bb&t,bb&t
saic,saic
bureau veritas,bureau_veritas
faurecia,faurecia
sas,sas
indite technologies,indite_technologies
mahindra satyam,mahindra_satyam
coldwell banker,coldwell_banker
orange business services,orange_business_services
monsanto company,monsanto_company
manpowergroup,manpowergroup
american red cross,american_red_cross
kelly services,kelly_services
time warner cable,time_warner_cable
nedbank,nedbank
adobe,adobe
university of florida,university_of_florida
bell,bell
ecolab,ecolab
bhp billiton,bhp_billiton
university of minnesota,university_of_minnesota
absa,absa
bbc,bbc
government of maharashtra,government_of_maharashtra
"ameriprise financial services, inc.","ameriprise_financial_services,_inc."
unicredit,unicredit
mphasis,mphasis
randstad,randstad
progressive insurance,progressive_insurance
the ohio state university,the_ohio_state_university
"anthem, inc.","anthem,_inc."
safeway,safeway
teleperformance,teleperformance
worleyparsons,worleyparsons
korea facilitators association,korea_facilitators_association
british airways,british_airways
national oilwell varco,national_oilwell_varco
aviva,aviva
syngenta,syngenta
magna international,magna_international
walt disney world,walt_disney_world
auchan,auchan
staples,staples
no-company,no-company
the salvation army,the_salvation_army
inditex,inditex
barclays investment bank,barclays_investment_bank
toyota,toyota
sherwin williams,sherwin_williams
