id,package_id,package_name,package_validity,package_monthly_price,service_appointments,data_limit,data_retention,tudo_portion_of_consumer_tip,consolidated_calendar,tasks_events,consumer_family_member,deals,job_search_apply,my_net,consumer_private_messaging,n_ter,business_verification,bus_net,business_private_messaging,branch_offices,employees,tenant_business_providers,promotions,job_postings,reports_period,payment_with_applied_fee,show_adds,data_privacy,inserted_at,updated_at
1,free,Free,,0,"20",6,12,0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true,0,6,false,true,true,2020-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
2,gold,Gold,1,5,unlimited,50,60,0,true,true,true,true,true,true,true,true,false,false,false,false,false,true,true,1,12,false,false,true,2020-02-06 03:56:15.162244,2019-02-06 03:56:15.162244
